"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_1P_3_Fishery_om","SizeSel_1P_4_Fishery_om","SizeSel_1P_5_Fishery_om","SizeSel_1P_6_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SizeSel_2P_3_Survey_om","SizeSel_2P_4_Survey_om","SizeSel_2P_5_Survey_om","SizeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","ForeRecr_100_em","Impl_err_100_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_1P_3_Fishery_em","SizeSel_1P_4_Fishery_em","SizeSel_1P_5_Fishery_em","SizeSel_1P_6_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","SizeSel_2P_3_Survey_em","SizeSel_2P_4_Survey_em","SizeSel_2P_5_Survey_em","SizeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","B","D","E","F","I","species","max_grad","version","RunTime","hessian","ID"
"1",1417700000,164180000,4084110000,0.341863955672105,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,104692000,584.368,1.41168e-06,0,-20.9227,NA,NA,543.903,NA,NA,NA,NA,NA,NA,61.1375,0,0,0,0,0,1306440000,152055000,3767960000,0.399335449420907,0,0.2,20.1014,130.811,0.199326,0.0942368,0.107033,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6458,0.65,0.4,0,0,0,0,0,0,0,-0.133568,0,51.6864,-3,5.16816,15,-999,-999,39.4923,-4,4.64455,14,-99,99,NA,1213.05,4.44993e-14,0,-15.4756,NA,NA,1264.66,NA,NA,NA,NA,NA,NA,-47.8447,0,11.7145,0.00098271,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I1-cod",1,"B0","D1","E991","F1","I1","cod",0.00103545,"#V3.24O",0.0333333333333333,FALSE,"B0-D1-E991-F1-I1-cod-1"
"2",1417700000,164180000,4084110000,0.341863955672105,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,104692000,635.714,1.41168e-06,0,-20.9227,NA,NA,595.25,NA,NA,NA,NA,NA,NA,61.1375,0,0,0,0,0,1359030000,157007000,3917470000,0.387020194155922,0,0.2,20.3754,132.518,0.194877,0.0946344,0.102533,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6679,0.65,0.4,0,0,0,0,0,0,0,-0.129261,0,51.4198,-3,5.09507,15,-999,-999,46.3585,-4,6.07541,14,-99,99,NA,590.723,1.10148e-13,0,-15.3458,NA,NA,641.853,NA,NA,NA,NA,NA,NA,-47.6487,0,11.864,0.000786108,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I2-cod",1,"B0","D1","E991","F1","I2","cod",7.49228e-05,"#V3.24O",0.0288888888888889,FALSE,"B0-D1-E991-F1-I2-cod-1"
"3",1417700000,164180000,4084110000,0.341863955672105,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,104692000,521.462,1.41168e-06,0,-20.9227,NA,NA,480.997,NA,NA,NA,NA,NA,NA,61.1375,0,0,0,0,0,1349580000,154180000,3882670000,0.412154522532175,0,0.2,19.7181,132.514,0.195284,0.0864409,0.108539,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6613,0.65,0.4,0,0,0,0,0,0,0,-0.208331,0,48.7167,-3,4.8283,15,-999,-999,33.5177,-4,2.46877,14,-99,99,NA,146.636,2.16175e-14,0,-15.5336,NA,NA,199.338,NA,NA,NA,NA,NA,NA,-48.9887,0,11.8191,0.00163546,0,0,NA,NA,NA,NA,NA,NA,NA,"B0-D1-E991-F1-I3-cod",1,"B0","D1","E991","F1","I3","cod",4.61133e-05,"#V3.24O",0.0283333333333333,FALSE,"B0-D1-E991-F1-I3-cod-1"
