"species","data","binmatch","1","2","5","10","20"
"cod","Rich:A+L","pbin=1cm",99.5,100,100,100,100
"cod","Rich:A+L","pbin=dbin",NA,100,100,1,71
"cod","Rich:C+L","pbin=1cm",99.5,100,100,100,100
"cod","Rich:C+L","pbin=dbin",NA,100,99,96,41.6243654822335
"cod","Poor:A+L","pbin=1cm",79,76,84.25,64.25,41
"cod","Poor:A+L","pbin=dbin",NA,76.75,82.5,50.25,35
"cod","Poor:C+L","pbin=1cm",89.75,87.5,91.5,94.75,87
"cod","Poor:C+L","pbin=dbin",NA,87,92,76,41.5
"flatfish","Rich:A+L","pbin=1cm",99,100,100,100,99.5
"flatfish","Rich:A+L","pbin=dbin",NA,99.5,100,99.5,78
"flatfish","Rich:C+L","pbin=1cm",99,98.5,99.5,100,98.5
"flatfish","Rich:C+L","pbin=dbin",NA,99.5,97.5,78,NA
"flatfish","Poor:A+L","pbin=1cm",63.5,64.5,57.25,41.5,25.5
"flatfish","Poor:A+L","pbin=dbin",NA,67,59.75,44.75,14.5
"flatfish","Poor:C+L","pbin=1cm",90.5,89.25,88.75,81,62.75
"flatfish","Poor:C+L","pbin=dbin",NA,88.25,89,76.75,32.75
"yellow-long","Rich:A+L","pbin=1cm",100,100,100,100,100
"yellow-long","Rich:A+L","pbin=dbin",NA,100,100,100,98
"yellow-long","Rich:C+L","pbin=1cm",100,100,100,100,88
"yellow-long","Rich:C+L","pbin=dbin",NA,100,100,100,80
"yellow-long","Poor:A+L","pbin=1cm",42.25,40.5,44.5,37.25,22.5
"yellow-long","Poor:A+L","pbin=dbin",NA,40.75,45.25,61.25,21.25
"yellow-long","Poor:C+L","pbin=1cm",98.75,97.5,99,94.75,87
"yellow-long","Poor:C+L","pbin=dbin",NA,97.75,93,96.5,11.25
