"species","data","variable","tcomp=-1","tcomp=0.001","tcomp=0.01","tcomp=0.1"
"cod","Rich; A+L","Sel.1P.1.Fish",-0.002,0.014,0.02,0.047
"cod","Rich; A+L","Sel.1P.3.Fish",0,0.022,0.025,0.072
"cod","Rich; A+L","Sel.2P.1.Surv",-0.007,-0.004,0.026,0.055
"cod","Rich; A+L","Sel.2P.3.Surv",-0.012,-0.007,0.029,0.073
"cod","Rich; C+L","Sel.1P.1.Fish",-0.005,-0.019,-0.017,NA
"cod","Rich; C+L","Sel.1P.3.Fish",-0.004,-0.002,-0.009,NA
"cod","Rich; C+L","Sel.2P.1.Surv",-0.002,-0.007,0.018,NA
"cod","Rich; C+L","Sel.2P.3.Surv",-0.007,-0.004,0.03,NA
"cod","Poor; A+L","Sel.1P.1.Fish",-0.008,0.145,0.088,0.15
"cod","Poor; A+L","Sel.1P.3.Fish",-0.006,0.182,0.164,0.197
"cod","Poor; A+L","Sel.2P.1.Surv",-0.05,0.24,0.078,0.319
"cod","Poor; A+L","Sel.2P.3.Surv",-0.11,0.268,0.112,0.437
"cod","Poor; C+L","Sel.1P.1.Fish",0.011,0.15,0.126,NA
"cod","Poor; C+L","Sel.1P.3.Fish",0.028,0.187,0.182,NA
"cod","Poor; C+L","Sel.2P.1.Surv",0.07,0.388,0.134,NA
"cod","Poor; C+L","Sel.2P.3.Surv",0.01,0.327,0.194,NA
"flatfish","Rich; A+L","Sel.1P.1.Fish",-0.005,0.012,0.013,0.005
"flatfish","Rich; A+L","Sel.1P.3.Fish",-0.006,0.019,0.018,0.005
"flatfish","Rich; A+L","Sel.2P.1.Surv",-0.001,0.007,0.017,0.024
"flatfish","Rich; A+L","Sel.2P.3.Surv",-0.008,0.002,0.019,0.03
"flatfish","Rich; C+L","Sel.1P.1.Fish",-0.002,-0.004,0,NA
"flatfish","Rich; C+L","Sel.1P.3.Fish",-0.003,0.015,0.016,NA
"flatfish","Rich; C+L","Sel.2P.1.Surv",-0.001,-0.021,-0.016,NA
"flatfish","Rich; C+L","Sel.2P.3.Surv",-0.004,-0.013,0,NA
"flatfish","Poor; A+L","Sel.1P.1.Fish",-0.022,0.083,0.054,0.088
"flatfish","Poor; A+L","Sel.1P.3.Fish",-0.026,0.081,0.078,0.134
"flatfish","Poor; A+L","Sel.2P.1.Surv",0.021,0.064,0.077,0.06
"flatfish","Poor; A+L","Sel.2P.3.Surv",-0.013,0.018,0.064,0.25
"flatfish","Poor; C+L","Sel.1P.1.Fish",-0.025,0.038,0.073,NA
"flatfish","Poor; C+L","Sel.1P.3.Fish",-0.01,0.115,0.107,NA
"flatfish","Poor; C+L","Sel.2P.1.Surv",-0.032,-0.002,0.03,NA
"flatfish","Poor; C+L","Sel.2P.3.Surv",-0.081,0.041,0.055,NA
"yellow","Rich; A+L","Sel.1P.1.Fish",-0.002,0.014,0.011,0.008
"yellow","Rich; A+L","Sel.1P.3.Fish",0,0.025,0.022,0.021
"yellow","Rich; A+L","Sel.2P.1.Surv",-0.003,0.008,0.011,0.009
"yellow","Rich; A+L","Sel.2P.3.Surv",-0.008,0.005,0.006,0.013
"yellow","Rich; C+L","Sel.1P.1.Fish",-0.002,0,0,-0.01
"yellow","Rich; C+L","Sel.1P.3.Fish",-0.002,0.006,0.005,0.004
"yellow","Rich; C+L","Sel.2P.1.Surv",-0.003,0.001,0.003,-0.028
"yellow","Rich; C+L","Sel.2P.3.Surv",-0.006,-0.003,-0.002,-0.035
"yellow","Poor; A+L","Sel.1P.1.Fish",-0.004,0.037,0.037,0.031
"yellow","Poor; A+L","Sel.1P.3.Fish",-0.011,0.078,0.078,0.086
"yellow","Poor; A+L","Sel.2P.1.Surv",-0.042,0.082,0.082,-0.021
"yellow","Poor; A+L","Sel.2P.3.Surv",-0.093,0.038,0.038,0
"yellow","Poor; C+L","Sel.1P.1.Fish",0.007,0.033,0.033,0.01
"yellow","Poor; C+L","Sel.1P.3.Fish",0.011,0.075,0.075,0.067
"yellow","Poor; C+L","Sel.2P.1.Surv",-0.019,0.047,0.047,-0.009
"yellow","Poor; C+L","Sel.2P.3.Surv",-0.011,0.085,0.085,0.071
